id,genre
1,jazz
2,blues
3,pop
4,country
5,electronic
6,new age
7,rock
8,new age
9,rnb
10,new age
11,rock
12,blues
13,rock
14,metal
15,new age
16,rock
17,new age
18,rap
19,folk
20,rock
21,jazz
22,rap
23,folk
24,electronic
25,punk
26,reggae
27,jazz
28,latin
29,jazz
30,reggae
31,punk
32,country
33,punk
34,world
35,rap
36,jazz
37,world
38,punk
39,electronic
40,electronic
41,world
42,new age
43,folk
44,country
45,new age
46,country
47,rnb
48,folk
49,jazz
50,punk
51,electronic
52,rap
53,new age
54,country
55,rnb
56,folk
57,metal
58,blues
59,country
60,rnb
61,world
62,reggae
63,pop
64,folk
65,world
66,new age
67,jazz
68,blues
69,rap
70,punk
71,pop
72,latin
73,rnb
74,country
75,electronic
76,punk
77,blues
78,pop
79,punk
80,folk
81,punk
82,latin
83,latin
84,new age
85,blues
86,world
87,pop
88,latin
89,metal
90,rnb
91,new age
92,reggae
93,folk
94,rock
95,folk
96,pop
97,jazz
98,electronic
99,world
100,punk
